date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:49	492594/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:23:21%20GMT	http://www.sportee.in/fk_collection/Sports/Basketball/Accessories/?l1=HHKD&l2=FLDD&l3=FKJJ	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Basketball/Accessories/indexecb5.html	(from http://www.sportee.in/)
15:54:57	22028/22028	---M--	200	added ('OK')	image/jpeg	etag:%22db7d43c2e373c9c1b794b775c7e584a5%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/mequaignvbl0mjrz0d2hh3lp201522784215sscribatbsm008.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/mequaignvbl0mjrz0d2hh3lp201522784215sscribatbsm008.jpg	(from http://www.sportee.in/fk_collection/Sports/Tennis/Bag/?l1=HHKD&l2=FKKF&l3=GFHD)
15:55:01	19636/19636	---M--	200	added ('OK')	image/jpeg	etag:%22d46f38ab636d9485f3ad781096fe9325%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/v42nisi3dzrejnbottsiydjv20151282211sscribagkk055.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/v42nisi3dzrejnbottsiydjv20151282211sscribagkk055.jpg	(from http://www.sportee.in/fk_collection/Sports/Tennis/Bag/?l1=HHKD&l2=FKKF&l3=GFHD)
15:55:12	499739/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:23:35%20GMT	http://www.sportee.in/fk_collection/Sports/Basketball/Ball/?l1=HHKD&l2=FLDD&l3=GFGM	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Basketball/Ball/index5f49.html	(from http://www.sportee.in/)
15:55:17	492712/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:23:52%20GMT	http://www.sportee.in/fk_collection/Sports/Basketball/Net/?l1=HHKD&l2=FLDD&l3=GGLM	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Basketball/Net/indexc9b0.html	(from http://www.sportee.in/)
15:55:23	8002/8002	---M--	200	added ('OK')	image/jpeg	etag:%22d1db03fa7e76d3093b237becde35fa2b%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/mequaignvbl0mjrz0d2hh3lp201522784215ssbabbatbsm025.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/mequaignvbl0mjrz0d2hh3lp201522784215ssbabbatbsm025.jpg	(from http://www.sportee.in/fk_collection/Sports/Tennis/Other/?l1=HHKD&l2=FKKF&l3=GGDI)
15:55:31	494459/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:23:44%20GMT	http://www.sportee.in/fk_collection/Sports/Basketball/Other/?l1=HHKD&l2=FLDD&l3=GGDI	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Basketball/Other/index4e4b.html	(from http://www.sportee.in/)
15:55:34	13413/13413	---M--	200	added ('OK')	image/jpeg	etag:%2242a561383ec16f4c3572c7811baea93a%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/m042euxbsjyg0q4lljlwezp3201512765912ssbadracyon024.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/m042euxbsjyg0q4lljlwezp3201512765912ssbadracyon024.jpg	(from http://www.sportee.in/fk_collection/Sports/Tennis/Shoe/?l1=HHKD&l2=FKKF&l3=GMGK)
15:55:36	21052/21052	---M--	200	added ('OK')	image/jpeg	etag:%229d2add1ac979d60028d286951b8effc3%22	http://d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/v42nisi3dzrejnbottsiydjv20151282211sscribatkk025.jpg	/home/sudhir/websites/Sportee%20Old%20website/d3mbfsjswonct4.cloudfront.net/sportee.in/ProductImages/v42nisi3dzrejnbottsiydjv20151282211sscribatkk025.jpg	(from http://www.sportee.in/fk_collection/Sports/Tennis/Shoe/?l1=HHKD&l2=FKKF&l3=GMGK)
15:56:47	494216/-1	---M--	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202015%2010:25:01%20GMT	http://www.sportee.in/fk_collection/Sports/Basketball/Shoe/?l1=HHKD&l2=FLDD&l3=GMGK	/home/sudhir/websites/Sportee%20Old%20website/www.sportee.in/fk_collection/Sports/Basketball/Shoe/index4628.html	(from http://www.sportee.in/)
